Sample,Name,Culture_type,Phyto,Day,HoursFromStart,Cultivation_Stage,Chla,BacterialAbundance,SiO2_ug.L,NOx_ug.L,Orthophosphate_ug.L,Ammonia_ug.L,Spectrometer
Evelyn_Armstrong_Day0_Bact1,B_T0_1,BacterialControl,None,0,0,Lag,-0.000585307,1.83E+05,860.39,985.9,90.86,3.12,0.024
Evelyn_Armstrong_Day0_Bact2,B_T0_2,BacterialControl,None,0,0,Lag,-4.09E-07,1.62E+05,738.16,979.66,90.11,3.2,0.038
Evelyn_Armstrong_Day0_Bact3,B_T0_3,BacterialControl,None,0,0,Lag,0.000584488,1.31E+05,742.54,974.38,90.29,2.62,0.041
Evelyn_Armstrong_B_1E,B_E_1,BacterialControl,None,7,165,Exponential,0.231619056,1.80E+05,908.73,899.6,72.07,13.28,0.918
Evelyn_Armstrong_B_2E,B_E_2,BacterialControl,None,7,165,Exponential,4.501371828,4.83E+05,960.19,828.6,60.03,0,1.18
Evelyn_Armstrong_B_3E,B_E_3,BacterialControl,None,7,165,Exponential,3.273086784,2.54E+05,969.39,862.2,64.69,0,0.507
Evelyn_Armstrong_091120_Bacteria_S_1,B_S_1,BacterialControl,None,20,476.75,Stationary,53.79068288,1.88E+06,767.76,0,1.1,0,14.3
Evelyn_Armstrong_091120_Bacteria_S_2,B_S_2,BacterialControl,None,20,476.75,Stationary,49.11150176,2.71E+06,642.88,0,5.75,0,20.5
Evelyn_Armstrong_091120_Bacteria_S_3,B_S_3,BacterialControl,None,20,476.75,Stationary,35.65885604,1.63E+06,490.63,0,3,0,14
Evelyn_Armstrong_231120_Bact_1,Bact_D_1,BacterialControl,None,34,812.75,Death,31.56457256,3.76E+05,58.89,0,0,0,8.6
Evelyn_Armstrong_231120_Bact_2,Bact_D_2,BacterialControl,None,34,812.75,Death,29.10800247,1.15E+06,63.25,0,0.82,0,4.09
Evelyn_Armstrong_231120_Bact_3,Bact_D_3,BacterialControl,None,34,812.75,Death,22.20621032,4.08E+05,84.84,0,0.87,0,4.78
Evelyn_Armstrong_Day0_PP1_Bact_1,PP1B_T0_1,CoccolithophoreBacteria,Coccolithophore,0,0,Lag,0.028659575,1.69E+05,758.66,963.88,90.65,3.23,0.036
Evelyn_Armstrong_Day0_PP1_Bact_2,PP1B_T0_2,CoccolithophoreBacteria,Coccolithophore,0,0,Lag,0.007018362,8.84E+04,799.56,977.62,87.25,1.92,0.031
Evelyn_Armstrong_Day0_PP1_Bact_3,PP1B_T0_3,CoccolithophoreBacteria,Coccolithophore,0,0,Lag,0.032753858,7.91E+04,777.53,961.77,90.11,2.27,0.028
Evelyn_Armstrong_PP1_B_1,PP1B_E_1,CoccolithophoreBacteria,Coccolithophore,7,165,Exponential,43.16310583,1.15E+05,731.97,658.43,19.64,0,3.1
Evelyn_Armstrong_PP1_BE_2,PP1B_E_2,CoccolithophoreBacteria,Coccolithophore,7,165,Exponential,27.7802979,1.62E+05,991.86,707.82,33.53,10.5,2.48
Evelyn_Armstrong_PP1_B_3,PP1B_E_3,CoccolithophoreBacteria,Coccolithophore,7,165,Exponential,27.42935932,9.27E+04,953.68,757.7,33.23,0,2.49
Evelyn_Armstrong_051120_PP1B_S_1,PP1B_S_1,CoccolithophoreBacteria,Coccolithophore,16,380.75,Stationary,133.3367619,5.93E+05,1327.68,0,0,0,71.7
Evelyn_Armstrong_051120_PP1B_S_2,PP1B_S_2,CoccolithophoreBacteria,Coccolithophore,16,380.75,Stationary,62.56414748,2.03E+06,1164.93,0,0,5.32,19.5
Evelyn_Armstrong_051120_PP1B_S_3,PP1B_S_3,CoccolithophoreBacteria,Coccolithophore,16,380.75,Stationary,59.63965928,1.08E+06,1110.37,0,0,74.87,10.7
Evelyn_Armstrong_231120_PP1B_D_1,PP1B_D_1,CoccolithophoreBacteria,Coccolithophore,34,812.75,Death,12.14597091,4.32E+06,1153.98,0,0.89,31.12,5.66
Evelyn_Armstrong_231120_PP1B_D_2,PP1B_D_2,CoccolithophoreBacteria,Coccolithophore,34,812.75,Death,91.80902948,2.85E+06,1260.62,0,0,0,33.8
Evelyn_Armstrong_231120_PP1B_D_3,PP1B_D_3,CoccolithophoreBacteria,Coccolithophore,34,812.75,Death,4.717770884,2.20E+06,840.11,0,0,269.94,2.67
Evelyn_Armstrong_Day0_PP1_1,PP1_T0_1,CoccolithophoreOnly,Coccolithophore,0,0,Lag,0.034508551,1.97E+05,706.98,976.07,83.42,2.59,0.05
Evelyn_Armstrong_Day0_PP1_2,PP1_T0_2,CoccolithophoreOnly,Coccolithophore,0,0,Lag,0.028074677,1.68E+05,721.12,969.4,77.14,1.68,0.029
Evelyn_Armstrong_Day0_PP1_3,PP1_T0_3,CoccolithophoreOnly,Coccolithophore,0,0,Lag,0.018131417,1.56E+05,836.33,927.68,89.06,2.43,0.029
Evelyn_Armstrong_PP1_1E,PP1_E_1,CoccolithophoreOnly,Coccolithophore,7,165,Exponential,12.80691832,1.21E+05,68.1,435.44,0,0,3.83
Evelyn_Armstrong_PP1_2E,PP1_E_2,CoccolithophoreOnly,Coccolithophore,7,165,Exponential,49.88942869,2.21E+05,285.17,579.34,7.89,0,3.25
Evelyn_Armstrong_PP1_3E,PP1_E_3,CoccolithophoreOnly,Coccolithophore,7,165,Exponential,67.2608886,3.98E+05,87.06,485.63,1.07,0,3.48
Evelyn_Armstrong_021120_PP1_S_1,PP1_S_1,CoccolithophoreOnly,Coccolithophore,13,308.75,Stationary,61.3943522,3.86E+06,90.73,31.85,0,40.74,5.75
Evelyn_Armstrong_021120_PP1_S_2,PP1_S_2,CoccolithophoreOnly,Coccolithophore,13,308.75,Stationary,39.87011905,1.59E+06,110.7,63.2,0,44.16,7.67
Evelyn_Armstrong_051120_PP1_S_3,PP1_S_3,CoccolithophoreOnly,Coccolithophore,13,308.75,Stationary,83.03556488,8.95E+05,84.32,0,0.99,0,25.2
Evelyn_Armstrong_231120_PP1_D_1,PP1_D_1,CoccolithophoreOnly,Coccolithophore,34,812.75,Death,11.26862445,1.86E+06,75.27,0,0,0,27.2
Evelyn_Armstrong_231120_PP1_D_2,PP1_D_2,CoccolithophoreOnly,Coccolithophore,34,812.75,Death,25.42314734,1.63E+06,81.97,0,0,0,44.1
Evelyn_Armstrong_231120_PP1_D_3,PP1_D_3,CoccolithophoreOnly,Coccolithophore,34,812.75,Death,44.43232064,1.07E+06,77.65,0,0,1.31,12.4
Evelyn_Armstrong_Day0_PP2_Bact_1 ,PP2B_T0_1 ,DiatomBacteria,Diatom,0,0,Lag,0.135110945,1.03E+05,766.56,976.19,89.82,3.05,0.036
Evelyn_Armstrong_Day0_PP2_Bact_2,PP2B_T0_2,DiatomBacteria,Diatom,0,0,Lag,0.107035859,1.07E+05,745.86,987.05,88.72,2.82,0.034
Evelyn_Armstrong_Day0_PP2_Bact_3,PP2B_T0_3,DiatomBacteria,Diatom,0,0,Lag,0.160846442,1.02E+05,791.85,965.75,89.91,2.01,0.041
Evelyn_Armstrong_PP2_B_1,PP2B_E_1,DiatomBacteria,Diatom,7,165,Exponential,18.30495613,6.52E+04,180.21,740.11,43.26,0,1.4
Evelyn_Armstrong_PP2_BE_2,PP2B_E_2,DiatomBacteria,Diatom,7,165,Exponential,16.78422227,1.39E+05,151.53,819.43,61.2,5.25,1.1
Evelyn_Armstrong_PP2_B_3,PP2B_E_3,DiatomBacteria,Diatom,7,165,Exponential,14.50312147,3.68E+05,245.73,759.29,45.84,0,1.89
Evelyn_Armstrong_DateUnkown_PP2B_S_1,PP2B_S_1,DiatomBacteria,Diatom,10,236.75,Stationary,31.5060828,3.32E+05,70.56,319.58,15.2,0,3.19
Evelyn_Armstrong_DateUnkown_PP2B_S_2,PP2B_S_2,DiatomBacteria,Diatom,10,236.75,Stationary,92.97882476,4.77E+05,58.22,727.4,4.44,0,2.62
Evelyn_Armstrong_DateUnkown_PP2B_S_3,PP2B_S_3,DiatomBacteria,Diatom,10,236.75,Stationary,28.99102294,4.08E+05,62.02,286.74,40.1,0,2.68
Evelyn_Armstrong_191120_PP2B_D_1,PP2B_D_1,DiatomBacteria,Diatom,30,716.75,Death,25.13069852,1.22E+06,100.21,35.9,0,0,3.75
Evelyn_Armstrong_191120_PP2B_D_2,PP2B_D_2,DiatomBacteria,Diatom,30,716.75,Death,26.41747333,1.24E+06,74.8,85.54,0,0,4.46
Evelyn_Armstrong_191120_PP2B_D_3,PP2B_D_3,DiatomBacteria,Diatom,30,716.75,Death,33.02681666,1.32E+06,69.26,0,0,0,3.49
Evelyn_Armstrong_Day0_PP2_1,PP2_T0_1,DiatomOnly,Diatom,0,0,Lag,0.143299512,1.55E+05,723.23,1002.3,89.47,2.54,0.032
Evelyn_Armstrong_Day0_PP2_2,PP2_T0_2,DiatomOnly,Diatom,0,0,Lag,0.209977843,7.38E+04,756.39,976.77,84.25,2.35,0.036
Evelyn_Armstrong_Day0_PP2_3,PP2_T0_3,DiatomOnly,Diatom,0,0,Lag,0.307655749,6.04E+04,777.41,957.92,89.97,1.99,0.034
Evelyn_Armstrong_PP2_1E,PP2_E_1,DiatomOnly,Diatom,7,165,Exponential,12.74842855,1.75E+05,59.95,339.76,0,0,6.42
Evelyn_Armstrong_PP2_2E,PP2_E_2,DiatomOnly,Diatom,7,165,Exponential,95.92087296,1.97E+05,62.24,434,0,0,4
Evelyn_Armstrong_PP2_3E,PP2_E_3,DiatomOnly,Diatom,7,165,Exponential,87.14740836,2.70E+05,53.94,471.51,0,0,3.64
Evelyn_Armstrong_301020_PP2_S_1,PP2_S_1,DiatomOnly,Diatom,10,236.75,Stationary,80.69597432,4.92E+05,59.9,633.02,6.76,4.92,8.77
Evelyn_Armstrong_301020_PP2B_S_2,PP2_S_2,DiatomOnly,Diatom,10,236.75,Stationary,36.77016156,5.05E+05,67.33,305.14,12.72,12.97,7.1
Evelyn_Armstrong_301020_PP2_S_3,PP2_S_3,DiatomOnly,Diatom,10,236.75,Stationary,69.58291916,4.45E+05,60.28,567.72,4.64,0,8.44
Evelyn_Armstrong_191120_PP2_D_1,PP2_D_1,DiatomOnly,Diatom,30,716.75,Death,73.67720264,1.44E+06,108.6,0,0,21.33,1.15
Evelyn_Armstrong_191120_PP2_D_2,PP2_D_2,DiatomOnly,Diatom,30,716.75,Death,81.28087196,1.87E+06,82.44,0,1.91,0,5.55
Evelyn_Armstrong_191120_PP2_D_3,PP2_D_3,DiatomOnly,Diatom,30,716.75,Death,67.2433286,7.70E+05,73.43,0,0,0,5.81
